CompanyName;FirstName;LastName;Address;Country;OrderID;OrderDate;RequiredDate;ShippedDate;Freight;UnitPrice;Quantity;ProductName;NumInStore
Chop-suey Chinese;Yang;Wang;Hauptstr 29;Switzerland;11041;2001-08-04;2001-09-01;2001-08-10;48;50;33;Vegie-spread;780
Chop-suey Chinese;Yang;Wang;Hauptstr 29;Switzerland;11041;2001-08-04;2001-09-01;2001-08-10;48;30;33;Sill;290
Comércio Mineiro;Pedro;Afonso;Av dos Lusíadas, 23;Brazil;11042;2001-08-04;2001-08-18;2001-08-13;30;38;7;Sirop d´érable;1300
Comércio Mineiro;Pedro;Afonso;Av dos Lusíadas, 23;Brazil;11042;2001-08-04;2001-08-18;2001-08-13;30;31;18;Gula Malacca;995
Great Lakes Food Market;Howard;Snyder;2732 Baker Blvd;USA;11040;2001-08-04;2001-09-01;;19;23;23;Sir Rodney´s Scones;800
Spécialités du monde;Dominique;Perrier;25, rue Lauriston;France;11043;2001-08-04;2001-09-01;2001-08-11;9;29;13;Queso Cabrales;780
Godos Cocina Típica;José;Pedro Freyre;C/ Romero, 33;Spain;11037;2001-08-03;2001-08-31;2001-08-09;3;27;7;Outback Lager;2300
LINO-Delicateses;Felipe;Izquierdo;Ave 5 de Mayo Porlamar;Venezuela;11039;2001-08-03;2001-08-31;;65;51;23;Rössle Sauerkraut;88
LINO-Delicateses;Felipe;Izquierdo;Ave 5 de Mayo Porlamar;Venezuela;11039;2001-08-03;2001-08-31;;65;31;31;Ravioli Angelo;443
LINO-Delicateses;Felipe;Izquierdo;Ave 5 de Mayo Porlamar;Venezuela;11039;2001-08-03;2001-08-31;;65;31;63;Maxilaku;489
LINO-Delicateses;Felipe;Izquierdo;Ave 5 de Mayo Porlamar;Venezuela;11039;2001-08-03;2001-08-31;;65;29;27;Steeleye Stout;3400
Suprêmes délices;Pascale;Cartrain;Boulevard Tirou, 255;Belgium;11038;2001-08-03;2001-08-31;2001-08-12;30;32;33;Fløtemysost;445
Suprêmes délices;Pascale;Cartrain;Boulevard Tirou, 255;Belgium;11038;2001-08-03;2001-08-31;2001-08-12;30;30;8;Boston Crab Meat;21
Suprêmes délices;Pascale;Cartrain;Boulevard Tirou, 255;Belgium;11038;2001-08-03;2001-08-31;2001-08-12;30;21;5;Filo Mix;78
Drachenblut Delikatessen;Sven;Ottlieb;Walserweg 21;Germany;11036;2001-08-02;2001-08-30;2001-08-04;149;59;33;Raclette Courdavault;766
Drachenblut Delikatessen;Sven;Ottlieb;Walserweg 21;Germany;11036;2001-08-02;2001-08-30;2001-08-04;149;20;10;Bröd;230
Old World Delicatessen;Rene;Phillips;2743 Bering St;USA;11034;2001-08-02;2001-09-13;2001-08-09;40;38;9;Sirop d´érable;1300
Old World Delicatessen;Rene;Phillips;2743 Bering St;USA;11034;2001-08-02;2001-09-13;2001-08-09;40;31;15;Gula Malacca;995
Old World Delicatessen;Rene;Phillips;2743 Bering St;USA;11034;2001-08-02;2001-09-13;2001-08-09;40;23;18;Sir Rodney´s Scones;800
Suprêmes délices;Pascale;Cartrain;Boulevard Tirou, 255;Belgium;11035;2001-08-02;2001-08-30;2001-08-06;0;29;13;Te från himlen;5000
Suprêmes délices;Pascale;Cartrain;Boulevard Tirou, 255;Belgium;11035;2001-08-02;2001-08-30;2001-08-06;0;29;63;Steeleye Stout;3400
Suprêmes délices;Pascale;Cartrain;Boulevard Tirou, 255;Belgium;11035;2001-08-02;2001-08-30;2001-08-06;0;25;33;Singaporean Hokkien Fried Mee;0
Suprêmes délices;Pascale;Cartrain;Boulevard Tirou, 255;Belgium;11035;2001-08-02;2001-08-30;2001-08-06;0;21;13;Tourtière;780
Richter Supermarkt;Michael;Holz;Grenzacherweg 237;Switzerland;11033;2001-07-30;2001-08-27;2001-08-05;85;44;39;Gudbrandsdalsost;256
Richter Supermarkt;Michael;Holz;Grenzacherweg 237;Switzerland;11033;2001-07-30;2001-08-27;2001-08-05;85;41;73;Perth Pasties;500
Save-a-lot Markets;Jose;Pavarotti;187 Suffolk Ln;USA;11031;2001-07-30;2001-08-27;2001-08-06;227;42;23;Wimmers gute Semmelknödel;888
Save-a-lot Markets;Jose;Pavarotti;187 Suffolk Ln;USA;11031;2001-07-30;2001-08-27;2001-08-06;227;32;19;Fløtemysost;445
Save-a-lot Markets;Jose;Pavarotti;187 Suffolk Ln;USA;11031;2001-07-30;2001-08-27;2001-08-06;227;29;48;Te från himlen;5000
Save-a-lot Markets;Jose;Pavarotti;187 Suffolk Ln;USA;11031;2001-07-30;2001-08-27;2001-08-06;227;20;83;Bröd;230
Save-a-lot Markets;Jose;Pavarotti;187 Suffolk Ln;USA;11031;2001-07-30;2001-08-27;2001-08-06;227;19;24;Guaraná Fantástica;2678
Save-a-lot Markets;Jose;Pavarotti;187 Suffolk Ln;USA;11030;2001-07-30;2001-08-27;2001-08-09;831;114;63;Thüringer Rostbratwurst;200
Save-a-lot Markets;Jose;Pavarotti;187 Suffolk Ln;USA;11030;2001-07-30;2001-08-27;2001-08-09;831;59;103;Raclette Courdavault;766
Save-a-lot Markets;Jose;Pavarotti;187 Suffolk Ln;USA;11030;2001-07-30;2001-08-27;2001-08-09;831;32;73;Chef Anton´s Gumbo Mix;1123
Save-a-lot Markets;Jose;Pavarotti;187 Suffolk Ln;USA;11030;2001-07-30;2001-08-27;2001-08-09;831;30;103;Sill;290
White Clover Markets;Karl;Jablonski;305 - 14th Ave Suite 3B;USA;11032;2001-07-30;2001-08-27;2001-08-05;606;226;28;Côte de Blaye;67
White Clover Markets;Karl;Jablonski;305 - 14th Ave Suite 3B;USA;11032;2001-07-30;2001-08-27;2001-08-05;606;59;33;Raclette Courdavault;766
White Clover Markets;Karl;Jablonski;305 - 14th Ave Suite 3B;USA;11032;2001-07-30;2001-08-27;2001-08-05;606;30;38;Inlagd Sill;443
Bottom-Dollar Markets;Elizabeth;Lincoln;23 Tsawassen Blvd;Canada;11027;2001-07-29;2001-08-26;2001-08-02;53;54;24;Tarte au sucre;300
Bottom-Dollar Markets;Elizabeth;Lincoln;23 Tsawassen Blvd;Canada;11027;2001-07-29;2001-08-26;2001-08-02;53;19;33;Guaraná Fantástica;2678
Chop-suey Chinese;Yang;Wang;Hauptstr 29;Switzerland;11029;2001-07-29;2001-08-26;2001-08-09;48;50;15;Vegie-spread;780
Chop-suey Chinese;Yang;Wang;Hauptstr 29;Switzerland;11029;2001-07-29;2001-08-26;2001-08-09;48;45;23;Gnocchi di nonna Alice;980
Königlich Essen;Philip;Cramer;Maubelstr 90;Germany;11028;2001-07-29;2001-08-26;2001-08-04;30;59;27;Raclette Courdavault;766
Königlich Essen;Philip;Cramer;Maubelstr 90;Germany;11028;2001-07-29;2001-08-26;2001-08-04;30;34;38;Pâté chinois;1600
Eastern Connection;Ann;Devon;35 King George;UK;11024;2001-07-28;2001-08-25;2001-08-02;74;40;15;Gumbär Gummibärchen;778
Eastern Connection;Ann;Devon;35 King George;UK;11024;2001-07-28;2001-08-25;2001-08-02;74;32;24;Louisiana Fiery Hot Pepper Sauce;890
Eastern Connection;Ann;Devon;35 King George;UK;11024;2001-07-28;2001-08-25;2001-08-02;74;32;53;Fløtemysost;445
Eastern Connection;Ann;Devon;35 King George;UK;11024;2001-07-28;2001-08-25;2001-08-02;74;17;33;Geitost;789
Franchi SpA;Paolo;Accorti;Via Monte Bianco 34;Italy;11026;2001-07-28;2001-08-25;2001-08-10;47;65;11;Carnarvon Tigers;12
Franchi SpA;Paolo;Accorti;Via Monte Bianco 34;Italy;11026;2001-07-28;2001-08-25;2001-08-10;47;57;13;Manjimup Dried Apples;566
Wartian Herkku;Pirkko;Koskitalo;Torikatu 38;Finland;11025;2001-07-28;2001-08-25;2001-08-06;29;29;13;Te från himlen;5000
Wartian Herkku;Pirkko;Koskitalo;Torikatu 38;Finland;11025;2001-07-28;2001-08-25;2001-08-06;29;20;23;Bröd;230
B´s Beverages;Victoria;Ashworth;Fauntleroy Circus;UK;11023;2001-07-27;2001-08-10;2001-08-06;124;52;33;Ipoh Coffee;2456
B´s Beverages;Victoria;Ashworth;Fauntleroy Circus;UK;11023;2001-07-27;2001-08-10;2001-08-06;124;39;7;Uncle Bob´s Organic Dried Pears;2355
Hanari Carnes;Mario;Pontes;Rua do Paço, 67;Brazil;11022;2001-07-27;2001-08-24;2001-08-16;6;44;33;Gudbrandsdalsost;256
Hanari Carnes;Mario;Pontes;Rua do Paço, 67;Brazil;11022;2001-07-27;2001-08-24;2001-08-16;6;22;38;Teatime Chocolate Biscuits;4000
Ottilies Käseladen;Henriette;Pfalzheim;Mehrheimerstr 369;Germany;11020;2001-07-27;2001-08-24;2001-07-29;43;40;27;Sushi;257
QUICK-Stop;Horst;Kloss;Taucherstraße 10;Germany;11021;2001-07-27;2001-08-24;2001-08-03;297;80;18;Sir Rodney´s Marmalade;268
QUICK-Stop;Horst;Kloss;Taucherstraße 10;Germany;11021;2001-07-27;2001-08-24;2001-08-03;297;57;47;Manjimup Dried Apples;566
QUICK-Stop;Horst;Kloss;Taucherstraße 10;Germany;11021;2001-07-27;2001-08-24;2001-08-03;297;50;38;Mozzarella di Giovanni;576
QUICK-Stop;Horst;Kloss;Taucherstraße 10;Germany;11021;2001-07-27;2001-08-24;2001-08-03;297;40;66;Gumbär Gummibärchen;778
QUICK-Stop;Horst;Kloss;Taucherstraße 10;Germany;11021;2001-07-27;2001-08-24;2001-08-03;297;30;14;Sill;290
Ernst Handel;Roland;Mendel;Kirchgasse 6;Austria;11017;2001-07-26;2001-08-23;2001-08-02;754;59;113;Raclette Courdavault;766
Ernst Handel;Roland;Mendel;Kirchgasse 6;Austria;11017;2001-07-26;2001-08-23;2001-08-02;754;27;33;Outback Lager;2300
Ernst Handel;Roland;Mendel;Kirchgasse 6;Austria;11017;2001-07-26;2001-08-23;2001-08-02;754;23;28;Aniseed Syrup;120
Lonesome Pine Restaurant;Fran;Wilson;89 Chiaroscuro Rd;USA;11018;2001-07-26;2001-08-23;2001-07-29;12;65;13;Carnarvon Tigers;12
Lonesome Pine Restaurant;Fran;Wilson;89 Chiaroscuro Rd;USA;11018;2001-07-26;2001-08-23;2001-07-29;12;45;23;Queso Manchego La Pastora;245
Lonesome Pine Restaurant;Fran;Wilson;89 Chiaroscuro Rd;USA;11018;2001-07-26;2001-08-23;2001-07-29;12;45;8;Gnocchi di nonna Alice;980
Rancho grande;Sergio;Gutiérrez;Av del Libertador 900;Argentina;11019;2001-07-26;2001-08-23;;3;31;5;Maxilaku;489
Rancho grande;Sergio;Gutiérrez;Av del Libertador 900;Argentina;11019;2001-07-26;2001-08-23;;3;25;6;Spegesild;790
Catfood Inv;Thomas;Hardy;120 Hanover Sq;UK;11016;2001-07-23;2001-08-20;2001-07-26;34;30;19;Inlagd Sill;443
Catfood Inv;Thomas;Hardy;120 Hanover Sq;UK;11016;2001-07-23;2001-08-20;2001-07-26;34;25;18;Gorgonzola Telino;653
LINO-Delicateses;Felipe;Izquierdo;Ave 5 de Mayo Porlamar;Venezuela;11014;2001-07-23;2001-08-20;2001-07-28;24;23;31;Jack´s New England Clam Chowder;734
Santé Gourmet;Jonas;Bergulfsen;Erling Skakkes gate 78;Norway;11015;2001-07-23;2001-08-06;2001-08-02;5;36;18;Nord-Ost Matjeshering;662
Santé Gourmet;Jonas;Bergulfsen;Erling Skakkes gate 78;Norway;11015;2001-07-23;2001-08-06;2001-08-02;5;25;21;Original Frankfurter grüne Soße;944
Frankenversand;Peter;Franken;Berliner Platz 43;Germany;11012;2001-07-22;2001-08-05;2001-07-30;243;42;39;Camembert Pierrot;55
Frankenversand;Peter;Franken;Berliner Platz 43;Germany;11012;2001-07-22;2001-08-05;2001-07-30;243;32;63;Fløtemysost;445
Frankenversand;Peter;Franken;Berliner Platz 43;Germany;11012;2001-07-22;2001-08-05;2001-07-30;243;22;53;Teatime Chocolate Biscuits;4000
Nisses Mataffär;Maria;Anders;Obere Str 57;Sweden;11011;2001-07-22;2001-08-19;2001-07-26;1;32;23;Fløtemysost;445
Nisses Mataffär;Maria;Anders;Obere Str 57;Sweden;11011;2001-07-22;2001-08-19;2001-07-26;1;26;43;Escargots de Bourgogne;800
Reggiani Caseifici;Maurizio;Moroni;Strada Provinciale 124;Italy;11010;2001-07-22;2001-08-19;2001-08-03;29;39;23;Uncle Bob´s Organic Dried Pears;2355
